state,county_name,fips_code,total_deaths,covid19_deaths
OR,Benton County,41003,2866,160
OR,Clackamas County,41005,14401,771
OR,Coos County,41011,3627,150
OR,Deschutes County,41017,7362,613
OR,Douglas County,41019,6365,389
OR,Jackson County,41029,10733,663
OR,Josephine County,41033,5037,369
OR,Klamath County,41035,3480,236
OR,Lane County,41039,16869,753
OR,Linn County,41043,5399,217
OR,Marion County,41047,12626,863
OR,Multnomah County,41051,29974,1976
OR,Umatilla County,41059,2462,164
OR,Washington County,41067,15426,946
OR,Yamhill County,41071,3868,207
PA,Adams County,42001,3513,324
PA,Allegheny County,42003,68329,5590
PA,Armstrong County,42005,2621,243
PA,Beaver County,42007,7642,730
PA,Bedford County,42009,1626,122
PA,Berks County,42011,15836,1656
PA,Blair County,42013,8020,895
PA,Bradford County,42015,4055,419
PA,Bucks County,42017,23956,2083
PA,Butler County,42019,7920,834
PA,Cambria County,42021,7191,790
PA,Carbon County,42025,2569,250
PA,Centre County,42027,4344,422
PA,Chester County,42029,16481,1512
PA,Clarion County,42031,1566,156
PA,Clearfield County,42033,4135,483
PA,Columbia County,42037,2072,136
PA,Crawford County,42039,3720,348
PA,Cumberland County,42041,10992,1223
PA,Dauphin County,42043,14210,1518
PA,Delaware County,42045,19458,1966
PA,Erie County,42049,14054,1239
PA,Fayette County,42051,6182,644
PA,Franklin County,42055,6707,856
PA,Huntingdon County,42061,1522,183
PA,Indiana County,42063,3446,373
PA,Jefferson County,42065,1975,202
PA,Lackawanna County,42069,12139,1081
PA,Lancaster County,42071,21303,2062
PA,Lawrence County,42073,4204,401
PA,Lebanon County,42075,5787,475
PA,Lehigh County,42077,20435,2408
PA,Luzerne County,42079,16272,1646
PA,Lycoming County,42081,6014,710
PA,McKean County,42083,1637,148
PA,Mercer County,42085,5516,492
PA,Mifflin County,42087,2444,382
PA,Monroe County,42089,5807,588
PA,Montgomery County,42091,35195,3518
PA,Montour County,42093,5240,877
PA,Northampton County,42095,10665,934
PA,Northumberland County,42097,3287,296
PA,Philadelphia County,42101,63591,5463
PA,Schuylkill County,42107,6358,581
PA,Somerset County,42111,3721,412
PA,Tioga County,42117,1547,182
PA,Union County,42119,1913,256
PA,Venango County,42121,2349,226
PA,Warren County,42123,1754,193
PA,Washington County,42125,9817,732
PA,Wayne County,42127,2212,202
PA,Westmoreland County,42129,14799,1161
PA,York County,42133,17426,1677
RI,Bristol County,44001,1336,103
RI,Kent County,44003,6418,538
RI,Newport County,44005,2483,105
RI,Providence County,44007,27867,3090
RI,Washington County,44009,4355,247
SC,Aiken County,45003,7034,502
SC,Anderson County,45007,10354,1173
SC,Beaufort County,45013,6723,417
SC,Berkeley County,45015,6352,355
SC,Charleston County,45019,20474,1776
SC,Cherokee County,45021,1919,114
SC,Chesterfield County,45025,1721,151
SC,Colleton County,45029,2248,235
SC,Darlington County,45031,2571,297
SC,Dorchester County,45035,3744,334
SC,Florence County,45041,12066,1399
SC,Georgetown County,45043,4000,405
SC,Greenville County,45045,23337,2605
SC,Greenwood County,45047,4361,496
SC,Horry County,45051,18410,1396
SC,Jasper County,45053,1539,130
SC,Kershaw County,45055,2596,213
SC,Lancaster County,45057,3366,269
SC,Laurens County,45059,2980,239
SC,Lexington County,45063,12712,1088
SC,Marion County,45067,1212,107
SC,Newberry County,45071,1553,145
SC,Oconee County,45073,3971,441
SC,Orangeburg County,45075,4557,462
SC,Pickens County,45077,4054,471
SC,Richland County,45079,16862,1532
SC,Spartanburg County,45083,16643,2117
SC,Sumter County,45085,4478,440
SC,York County,45091,9068,790
SD,Brown County,46013,1574,165
SD,Minnehaha County,46099,10436,1344
SD,Pennington County,46103,5413,477
